scat SCAT WCSTools 3.9.5, 30 March 2017, Jessica Mink (jmink@cfa.harvard.edu)
 BSC   0.0000000   0.0000000 J2000 r= 180.00 at epoch 2000.0000
BSC_number    RA2000     Dec2000     Mag Type  Arcsec
  0001    1.2912500  45.2291667   6.70  A1  162876.95
  0002    1.2658333  -0.5030556   6.29  G9  4903.61
  0003    1.3337500  -5.7075000   4.61  K0  21098.75
  0004    1.4250000  13.3961111   5.51  G5  48493.12
  0005    1.5666667  58.4366667   5.96  G5  210419.36
  0006    1.5791667 -49.0750000   5.70  G1  176737.91
  0007    1.6104167  64.1961111   5.59  B9  231145.39
  0008    1.6533333  29.0213889   6.13  K0  104631.67
  0009    1.7087500 -23.1075000   6.18  A7  83401.70
  0010    1.8258333 -17.3863889   6.19  A6  62924.58
  0011    1.9337500  -2.5488889   6.43  B8  11516.49
  0012    1.9450000 -22.5088889   5.94  A2  81318.29
  0013    2.0145833 -33.5294444   5.68  K1  120898.27
  0014    2.0504167  -2.4477778   6.07  K2  11493.68
  0015    2.0970833  29.0905556   2.06  B8  104974.02
  0016    2.0725000  -8.8238889   5.99  G8  32623.68
  0017    2.1708333  36.6266667   6.19  F8  132055.00
  0018    2.1391667 -17.5775000   6.06  M0  63731.19
  0019    2.2175000  25.4627778   6.23  K0  91989.85
  0020    2.3341667  79.7147222   6.01  A7  287004.06
  0021    2.2945833  59.1497222   2.27  F2  213037.77
  0022    2.2600000  18.2119444   5.53  G9  66048.90
  0023    2.2600000 -54.0019444   6.33  G4  194523.53
  0024    2.3375000 -27.9877778   5.42  F2  101078.48
  0025    2.3529167 -45.7475000   3.88  K0  164860.35
  0026    2.5095833  11.1455556   5.51  B9  41116.00
  0027    2.5804167  46.0722222   5.03  F2  166061.37
  0028    2.6237500  57.1655556   6.74  B7  205935.51
  0029    2.5783333  -5.2486111   5.84  K1  21046.03
  0030    2.5087500 -82.2238889   5.28  G8  296033.00
  0031    2.6783333 -12.5800000   5.85  K0  46286.85
  0032    2.6608333 -73.2244444   6.64  F2  263675.04
  0033    2.8162500 -15.4680556   4.89  F7  56578.25
  0034    2.8933333 -27.7997222   5.41  K5  100576.58
  0035    2.9333333 -35.1330556   5.25  F4  126862.56
  0036    2.9962500  48.1525000   6.16  K4  173601.40
  0037    3.0416667 -17.9383333   5.25  K5  65469.66
  0038    3.2100000  37.6933333   6.73  B2  136114.28
  0039    3.3091667  15.1836111   2.83  B2  55914.27
  0040    3.3500000  26.9872222   6.30  G0  97843.87
  0041    3.3783333  41.0352778   5.72  F0  148138.37
  0042    3.4254167 -26.0219444   5.94  K5  94431.01
  0043    3.4341667 -26.2847222   6.31  K5  95372.20
  0044    3.5095833  33.2061111   6.25  A1  120131.72
  0045    3.6508333  20.2066667   4.80  M2  73872.89
