0	0	-90	0
1	1	-89	1
2	2	-88	2
3	3	-87	3
4	4	-86	4
5	5	-85	5
6	6	-84	6
7	7	-83	7
8	8	-82	8
9	9	-81	9
10	10	-80	10
11	11	-79	11
12	12	-78	12
13	13	-77	13
14	14	-76	14
15	15	-75	15
16	16	-74	16
17	17	-73	17
18	18	-72	18
19	19	-71	19
20	20	-70	20
21	21	-69	21
22	22	-68	22
23	23	-67	23
24	24	-66	24
25	25	-65	25
26	26	-64	26
27	27	-63	27
28	28	-62	28
29	29	-61	29
30	30	-60	30
31	31	-59	31
32	32	-58	32
33	33	-57	33
34	34	-56	34
35	35	-55	35
36	36	-54	36
37	37	-53	37
38	38	-52	38
39	39	-51	39
40	40	-50	40
41	41	-49	41
42	42	-48	42
43	43	-47	43
44	44	-46	44
45	45	-45	45
46	46	-44	46
47	47	-43	47
48	48	-42	48
49	49	-41	49
50	50	-40	50
51	51	-39	51
52	52	-38	52
53	53	-37	53
54	54	-36	54
55	55	-35	55
56	56	-34	56
57	57	-33	57
58	58	-32	58
59	59	-31	59
60	60	-30	60
61	61	-29	61
62	62	-28	62
63	63	-27	63
64	64	-26	64
65	65	-25	65
66	66	-24	66
67	67	-23	67
68	68	-22	68
69	69	-21	69
70	70	-20	70
71	71	-19	71
72	72	-18	72
73	73	-17	73
74	74	-16	74
75	75	-15	75
76	76	-14	76
77	77	-13	77
78	78	-12	78
79	79	-11	79
80	80	-10	80
81	81	-9	81
82	82	-8	82
83	83	-7	83
84	84	-6	84
85	85	-5	85
86	86	-4	86
87	87	-3	87
88	88	-2	88
89	89	-1	89
90	90	0	90
91	91	1	91
92	92	2	92
93	93	3	93
94	94	4	94
95	95	5	95
96	96	6	96
97	97	7	97
98	98	8	98
99	99	9	99
100	100	10	100
101	101	11	101
102	102	12	102
103	103	13	103
104	104	14	104
105	105	15	105
106	106	16	106
107	107	17	107
108	108	18	108
109	109	19	109
110	110	20	110
111	111	21	111
112	112	22	112
113	113	23	113
114	114	24	114
115	115	25	115
116	116	26	116
117	117	27	117
118	118	28	118
119	119	29	119
120	120	30	120
121	121	31	121
122	122	32	122
123	123	33	123
124	124	34	124
125	125	35	125
126	126	36	126
127	127	37	127
128	128	38	128
129	129	39	129
130	130	40	130
131	131	41	131
132	132	42	132
133	133	43	133
134	134	44	134
135	135	45	135
136	136	46	136
137	137	47	137
138	138	48	138
139	139	49	139
140	140	50	140
141	141	51	141
142	142	52	142
143	143	53	143
144	144	54	144
145	145	55	145
146	146	56	146
147	147	57	147
148	148	58	148
149	149	59	149
150	150	60	150
151	151	61	151
152	152	62	152
153	153	63	153
154	154	64	154
155	155	65	155
156	156	66	156
157	157	67	157
158	158	68	158
159	159	69	159
160	160	70	160
161	161	71	161
162	162	72	162
163	163	73	163
164	164	74	164
165	165	75	165
166	166	76	166
167	167	77	167
168	168	78	168
169	169	79	169
170	170	80	170
171	171	81	171
172	172	82	172
173	173	83	173
174	174	84	174
175	175	85	175
176	176	86	176
177	177	87	177
178	178	88	178
179	179	89	179
180	180	90	180
